date,region,revenue
2026-06-23,Northeast,38188.47
2026-06-23,Midwest,28828.95
2026-06-23,West,45573.51
2026-06-24,Southeast,51460.4
2026-06-24,Northeast,39688.64
2026-06-24,Midwest,28690.58
2026-06-24,West,44467.29
2026-06-25,Southeast,52480.61
2026-06-25,Northeast,40116.46
2026-06-25,Midwest,31413.24
2026-06-25,West,46623.51
2026-06-26,Southeast,47557.41
2026-06-26,Northeast,40882.89
2026-06-26,Midwest,30545.13
2026-06-26,West,45166.37
2026-06-27,Southeast,48834.13
2026-06-27,Northeast,40563.85
2026-06-27,Midwest,28834.66
2026-06-27,West,44706.44
2026-06-28,Southeast,49768.62
2026-06-28,Northeast,41815.26
2026-06-28,Midwest,31127.56
2026-06-28,West,43935.25
2026-06-29,Southeast,50002.93
2026-06-29,Northeast,38714.61
2026-06-29,Midwest,31237.88
2026-06-29,West,46667.33
2026-06-30,Southeast,48992.22
2026-06-30,Northeast,40555.8
2026-06-30,Midwest,30326.91
2026-06-30,West,43437.78
2026-07-01,Southeast,51312.55
2026-07-01,Northeast,40157.52
2026-07-01,Midwest,30835.88
2026-07-01,West,45136.59
2026-07-02,Southeast,47502.86
2026-07-02,Northeast,38963.29
2026-07-02,Midwest,28558.43
2026-07-02,West,46930.94
2026-07-03,Southeast,51893.61
2026-07-03,Northeast,40660.0
2026-07-03,Midwest,29422.54
2026-07-03,West,43010.66
2026-07-04,Southeast,51890.05
2026-07-04,Northeast,40787.8
2026-07-04,Midwest,28756.96
2026-07-04,West,44936.96
2026-07-05,Southeast,47846.06
2026-07-05,Northeast,39709.08
2026-07-05,Midwest,30797.5
2026-07-05,West,43327.76
2026-07-06,Southeast,49876.41
2026-07-06,Northeast,38532.55
2026-07-06,Midwest,29295.17
2026-07-06,West,46675.95
2026-07-07,Southeast,49615.69
2026-07-07,Northeast,36847.19
2026-07-07,Midwest,30117.89
2026-07-07,West,46034.69
2026-07-08,Southeast,48505.76
2026-07-08,Northeast,36913.53
2026-07-08,Midwest,31485.45
2026-07-08,West,45674.45
2026-07-09,Southeast,49690.5
2026-07-09,Northeast,37403.64
2026-07-09,Midwest,28863.01
2026-07-09,West,43761.14
2026-07-10,Southeast,49190.43
2026-07-10,Northeast,37353.23
2026-07-10,Midwest,29190.34
2026-07-10,West,43740.98
2026-07-11,Southeast,47854.97
2026-07-11,Northeast,37191.08
2026-07-11,Midwest,29186.83
2026-07-11,West,46824.39
2026-07-12,Southeast,51798.18
2026-07-12,Northeast,34616.76
2026-07-12,Midwest,29214.01
2026-07-12,West,45760.4
2026-07-13,Southeast,48571.18
2026-07-13,Northeast,34529.25
2026-07-13,Midwest,31306.54
2026-07-13,West,45319.69
2026-07-14,Southeast,49863.36
2026-07-14,Northeast,36805.14
2026-07-14,Midwest,30922.49
2026-07-14,West,43606.84
2026-07-15,Southeast,47984.65
2026-07-15,Northeast,35057.54
2026-07-15,Midwest,29770.74
2026-07-15,West,44851.61
2026-07-16,Southeast,51145.38
2026-07-16,Northeast,35693.46
2026-07-16,Midwest,31452.5
2026-07-16,West,43192.88
2026-07-17,Southeast,49513.11
2026-07-17,Northeast,34023.88
2026-07-17,Midwest,31085.02
2026-07-17,West,43868.95
2026-07-18,Southeast,48451.04
2026-07-18,Northeast,34127.79
2026-07-18,Midwest,29765.64
2026-07-18,West,44003.45
2026-07-19,Southeast,48749.03
2026-07-19,Northeast,35693.06
2026-07-19,Midwest,29829.39
2026-07-19,West,46626.07
2026-07-20,Southeast,50251.63
2026-07-20,Northeast,31869.02
2026-07-20,Midwest,31497.85
2026-07-20,West,46512.12
2026-07-21,Southeast,52344.98
2026-07-21,Northeast,35038.8
2026-07-21,Midwest,31046.09
2026-07-21,West,43498.4
2026-07-22,Southeast,49928.21
2026-07-22,Northeast,31854.99
2026-07-22,Midwest,29703.12
2026-07-22,West,43013.86
2026-07-23,Southeast,49394.87
2026-07-23,Northeast,34607.9
2026-07-23,Midwest,29295.61
2026-07-23,West,46278.32
2026-07-24,Southeast,49775.04
2026-07-24,Northeast,32025.36
2026-07-24,Midwest,31371.95
2026-07-24,West,47229.4
2026-07-25,Southeast,50278.84
2026-07-25,Northeast,32873.63
2026-07-25,Midwest,28964.39
2026-07-25,West,44085.19
2026-07-26,Southeast,52343.55
2026-07-26,Northeast,31983.39
2026-07-26,Midwest,30126.59
2026-07-26,West,46115.89
2026-07-27,Southeast,47785.83
2026-07-27,Northeast,31670.04
2026-07-27,Midwest,30008.55
2026-07-27,West,46587.24
2026-07-28,Southeast,48287.16
2026-07-28,Northeast,32843.12
2026-07-28,Midwest,28740.33
2026-07-28,West,43586.21
2026-07-29,Southeast,50475.18
2026-07-29,Northeast,31367.52
2026-07-29,Midwest,29205.61
2026-07-29,West,43289.49
2026-07-30,Southeast,51951.44
2026-07-30,Northeast,29318.19
2026-07-30,Midwest,30283.56
2026-07-30,West,45537.22
2026-07-31,Southeast,49596.12
2026-07-31,Northeast,40334.69
2026-07-31,Midwest,30068.35
2026-07-31,West,46956.18
2026-08-01,Southeast,48521.3
2026-08-01,Northeast,40864.77
2026-08-01,Midwest,29216.06
2026-08-01,West,44531.04
2026-08-02,Southeast,50858.45
2026-08-02,Northeast,39199.99
2026-08-02,Midwest,29448.53
2026-08-02,West,46133.39
2026-08-03,Southeast,47862.72
2026-08-03,Northeast,39833.14
2026-08-03,Midwest,31495.36
2026-08-03,West,47232.43
2026-08-04,Southeast,47866.3
2026-08-04,Northeast,38852.62
2026-08-04,Midwest,29295.6
2026-08-04,West,46949.67
2026-08-05,Southeast,51904.32
2026-08-05,Northeast,41517.08
2026-08-05,Midwest,29608.58
2026-08-05,West,43459.86
2026-08-06,Southeast,51668.72
2026-08-06,Northeast,40814.16
2026-08-06,Midwest,30335.03
2026-08-06,West,47192.55
2026-08-07,Southeast,50769.88
2026-08-07,Northeast,38031.29
2026-08-07,Midwest,30951.31
2026-08-07,West,44097.2
2026-08-08,Southeast,50816.94
2026-08-08,Northeast,41755.72
2026-08-08,Midwest,28902.87
2026-08-08,West,43269.43
2026-08-09,Southeast,48035.18
2026-08-09,Northeast,40212.89
2026-08-09,Midwest,29317.04
2026-08-09,West,45471.73
2026-08-10,Southeast,51088.06
2026-08-10,Northeast,38814.39
2026-08-10,Midwest,30402.71
2026-08-10,West,43937.93
2026-08-10,Europe,14982.8
2026-08-11,Southeast,52026.68
2026-08-11,Northeast,41384.41
2026-08-11,Midwest,28776.9
2026-08-11,West,44656.09
2026-08-11,Europe,14665.02
2026-08-12,Southeast,47517.73
2026-08-12,Northeast,41084.48
2026-08-12,Midwest,30411.34
2026-08-12,West,43928.8
2026-08-12,Europe,15361.85
2026-08-13,Southeast,50258.4
2026-08-13,Northeast,39710.75
2026-08-13,Midwest,28529.01
2026-08-13,West,43088.6
2026-08-13,Europe,15574.66
2026-08-14,Southeast,52019.64
2026-08-14,Northeast,40182.36
2026-08-14,Midwest,31003.79
2026-08-14,West,45371.29
2026-08-14,Europe,14472.14
2026-08-15,Southeast,10000.0
2026-08-15,Northeast,39233.03
2026-08-15,Midwest,31196.94
2026-08-15,West,46332.55
2026-08-15,Europe,15541.05
2026-08-16,Southeast,51994.62
2026-08-16,Northeast,38840.31
2026-08-16,Midwest,29248.59
2026-08-16,West,43212.57
2026-08-16,Europe,15420.17
2026-08-17,Southeast,51920.67
2026-08-17,Northeast,39625.51
2026-08-17,Midwest,30361.98
2026-08-17,West,43445.49
2026-08-17,Europe,15644.82
2026-08-18,Southeast,51823.03
2026-08-18,Northeast,41904.82
2026-08-18,Midwest,30932.32
2026-08-18,West,46716.37
2026-08-18,Europe,14287.18
2026-08-19,Southeast,51182.82
2026-08-19,Northeast,39328.74
2026-08-19,Midwest,31292.45
2026-08-19,West,46360.06
2026-08-19,Europe,15546.1
2026-08-20,Southeast,51553.75
2026-08-20,Northeast,39067.22
2026-08-20,Midwest,30862.12
2026-08-20,West,36750.97
2026-08-20,Europe,15558.25
2026-08-21,Southeast,51792.97
2026-08-21,Northeast,38889.73
2026-08-21,Midwest,30949.76
2026-08-21,West,44821.36
2026-08-21,Europe,14707.79
2026-08-22,Southeast,51476.73
2026-08-22,Northeast,38910.38
2026-08-22,Midwest,28570.99
2026-08-22,West,43619.08
2026-08-22,Europe,14742.39
2026-08-23,Southeast,51821.76
2026-08-23,Northeast,41867.56
2026-08-23,Midwest,29337.37
2026-08-23,West,45636.67
2026-08-23,Europe,14849.52
2026-08-24,Southeast,52405.75
2026-08-24,Northeast,40144.86
2026-08-24,Midwest,31317.71
2026-08-24,West,43269.04
2026-08-24,Europe,15705.6
