ticket_id,customer_id,region,created_at,category,priority,status,description
TKT-1024,USR-78327,Northeast,2026-06-01 08:48:00,Product Question,High,Closed,Customer inquiry regarding product question issue.
TKT-1025,USR-20155,Northeast,2026-06-01 15:40:00,Product Question,Medium,Open,Customer inquiry regarding product question issue.
TKT-1026,USR-51904,Northeast,2026-06-01 22:18:00,Product Question,Medium,Closed,Customer inquiry regarding product question issue.
TKT-1027,USR-60205,Northeast,2026-06-01 17:05:00,Product Question,Low,Closed,Customer inquiry regarding product question issue.
TKT-1028,USR-64377,Northeast,2026-06-01 22:09:00,Bug Report,Low,Closed,Customer inquiry regarding bug report issue.
TKT-1029,USR-18161,Northeast,2026-06-01 13:21:00,Refund Request,Medium,Open,Customer inquiry regarding refund request issue.
TKT-1030,USR-12560,Northeast,2026-06-01 06:53:00,Shipping,Medium,Solved,Customer inquiry regarding shipping issue.
TKT-1031,USR-49139,Northeast,2026-06-01 18:24:00,Shipping,Low,Closed,Customer inquiry regarding shipping issue.
TKT-1032,USR-89069,Northeast,2026-06-01 12:54:00,Shipping,High,Solved,Customer inquiry regarding shipping issue.
TKT-1033,USR-73654,Northeast,2026-06-01 07:31:00,Product Question,Medium,Open,Customer inquiry regarding product question issue.
TKT-1034,USR-31632,Northeast,2026-06-01 00:24:00,Billing,High,Open,Customer inquiry regarding billing issue.
TKT-1035,USR-13534,Northeast,2026-06-01 14:58:00,Product Question,High,Solved,Customer inquiry regarding product question issue.
TKT-1036,USR-21003,Northeast,2026-06-01 12:37:00,Refund Request,High,Closed,Customer inquiry regarding refund request issue.
TKT-1037,USR-52906,Midwest,2026-06-01 14:11:00,Login Issue,Medium,Open,Customer inquiry regarding login issue issue.
TKT-1038,USR-46471,Midwest,2026-06-01 06:29:00,Billing,Medium,Open,Customer inquiry regarding billing issue.
TKT-1039,USR-80702,Midwest,2026-06-01 13:16:00,Login Issue,Medium,Closed,Customer inquiry regarding login issue issue.
TKT-1040,USR-95426,Midwest,2026-06-01 01:22:00,Product Question,High,Closed,Customer inquiry regarding product question issue.
TKT-1041,USR-12671,Midwest,2026-06-01 01:48:00,Login Issue,Low,Closed,Customer inquiry regarding login issue issue.
TKT-1042,USR-97747,Midwest,2026-06-01 19:09:00,Product Question,Low,Open,Customer inquiry regarding product question issue.
TKT-1043,USR-58351,West,2026-06-01 03:36:00,Product Question,Medium,Closed,Customer inquiry regarding product question issue.
TKT-1044,USR-31465,West,2026-06-01 05:38:00,Refund Request,High,Closed,Customer inquiry regarding refund request issue.
TKT-1045,USR-85470,West,2026-06-01 09:06:00,Refund Request,Low,Closed,Customer inquiry regarding refund request issue.
TKT-1046,USR-19961,West,2026-06-01 21:58:00,Shipping,Medium,Closed,Customer inquiry regarding shipping issue.
TKT-1047,USR-49529,West,2026-06-01 18:44:00,Bug Report,Low,Closed,Customer inquiry regarding bug report issue.
TKT-1048,USR-55508,West,2026-06-01 21:38:00,Login Issue,High,Closed,Customer inquiry regarding login issue issue.
TKT-1049,USR-76317,West,2026-06-01 17:27:00,Bug Report,Medium,Closed,Customer inquiry regarding bug report issue.
TKT-1050,USR-23833,West,2026-06-01 20:21:00,Login Issue,Medium,Open,Customer inquiry regarding login issue issue.
TKT-1051,USR-78386,Southeast,2026-06-02 14:45:00,Product Question,Medium,Closed,Customer inquiry regarding product question issue.
TKT-1052,USR-70931,Southeast,2026-06-02 20:17:00,Refund Request,High,Open,Customer inquiry regarding refund request issue.
TKT-1053,USR-52245,Southeast,2026-06-02 13:52:00,Bug Report,High,Closed,Customer inquiry regarding bug report issue.
TKT-1054,USR-41963,Southeast,2026-06-02 07:53:00,Login Issue,Medium,Open,Customer inquiry regarding login issue issue.
TKT-1055,USR-54092,Southeast,2026-06-02 14:36:00,Refund Request,High,Open,Customer inquiry regarding refund request issue.
TKT-1056,USR-37802,Southeast,2026-06-02 00:31:00,Billing,Low,Open,Customer inquiry regarding billing issue.
TKT-1057,USR-88139,Southeast,2026-06-02 11:51:00,Billing,Medium,Closed,Customer inquiry regarding billing issue.
TKT-1058,USR-77715,Southeast,2026-06-02 22:56:00,Billing,High,Closed,Customer inquiry regarding billing issue.
TKT-1059,USR-74038,Southeast,2026-06-02 06:05:00,Product Question,High,Open,Customer inquiry regarding product question issue.
TKT-1060,USR-94659,Southeast,2026-06-02 17:48:00,Product Question,High,Open,Customer inquiry regarding product question issue.
TKT-1061,USR-48566,Southeast,2026-06-02 22:31:00,Shipping,Low,Closed,Customer inquiry regarding shipping issue.
TKT-1062,USR-97026,Southeast,2026-06-02 07:25:00,Bug Report,Low,Closed,Customer inquiry regarding bug report issue.
TKT-1063,USR-55056,Northeast,2026-06-02 18:23:00,Shipping,High,Solved,Customer inquiry regarding shipping issue.
TKT-1064,USR-69473,Northeast,2026-06-02 13:47:00,Refund Request,Medium,Closed,Customer inquiry regarding refund request issue.
TKT-1065,USR-35242,Northeast,2026-06-02 08:19:00,Billing,Low,Closed,Customer inquiry regarding billing issue.
TKT-1066,USR-35105,Northeast,2026-06-02 10:07:00,Bug Report,High,Closed,Customer inquiry regarding bug report issue.
TKT-1067,USR-78765,Northeast,2026-06-02 06:47:00,Shipping,Medium,Solved,Customer inquiry regarding shipping issue.
TKT-1068,USR-39816,Northeast,2026-06-02 19:18:00,Login Issue,Low,Closed,Customer inquiry regarding login issue issue.
TKT-1069,USR-26591,Northeast,2026-06-02 11:11:00,Billing,Low,Solved,Customer inquiry regarding billing issue.
TKT-1070,USR-26551,Northeast,2026-06-02 08:02:00,Login Issue,High,Closed,Customer inquiry regarding login issue issue.
TKT-1071,USR-85243,Northeast,2026-06-02 20:55:00,Shipping,Low,Closed,Customer inquiry regarding shipping issue.
TKT-1072,USR-34164,Northeast,2026-06-02 09:30:00,Shipping,Medium,Closed,Customer inquiry regarding shipping issue.
TKT-1073,USR-62521,Northeast,2026-06-02 01:16:00,Shipping,Low,Closed,Customer inquiry regarding shipping issue.
TKT-1074,USR-29887,Northeast,2026-06-02 15:04:00,Refund Request,High,Closed,Customer inquiry regarding refund request issue.
TKT-1075,USR-42530,Northeast,2026-06-02 04:51:00,Refund Request,Medium,Closed,Customer inquiry regarding refund request issue.
TKT-1076,USR-59856,Midwest,2026-06-02 19:38:00,Refund Request,Low,Solved,Customer inquiry regarding refund request issue.
TKT-1077,USR-66207,Midwest,2026-06-02 14:58:00,Shipping,Medium,Solved,Customer inquiry regarding shipping issue.
TKT-1078,USR-23006,Midwest,2026-06-02 09:36:00,Refund Request,Low,Solved,Customer inquiry regarding refund request issue.
TKT-1079,USR-30585,Midwest,2026-06-02 06:40:00,Product Question,Medium,Closed,Customer inquiry regarding product question issue.
TKT-1080,USR-10350,Midwest,2026-06-02 07:11:00,Refund Request,Low,Closed,Customer inquiry regarding refund request issue.
TKT-1081,USR-48175,Midwest,2026-06-02 13:28:00,Bug Report,High,Open,Customer inquiry regarding bug report issue.
TKT-1082,USR-69510,Midwest,2026-06-02 01:14:00,Billing,High,Closed,Customer inquiry regarding billing issue.
TKT-1083,USR-96662,Midwest,2026-06-02 02:43:00,Product Question,Medium,Solved,Customer inquiry regarding product question issue.
TKT-1084,USR-94886,Midwest,2026-06-02 06:27:00,Login Issue,High,Closed,Customer inquiry regarding login issue issue.
TKT-1085,USR-17816,Midwest,2026-06-02 04:58:00,Billing,Low,Closed,Customer inquiry regarding billing issue.
TKT-1086,USR-47828,Midwest,2026-06-02 05:50:00,Billing,High,Solved,Customer inquiry regarding billing issue.
TKT-1087,USR-62757,West,2026-06-02 14:07:00,Shipping,High,Closed,Customer inquiry regarding shipping issue.
TKT-1088,USR-20543,West,2026-06-02 08:32:00,Refund Request,Medium,Open,Customer inquiry regarding refund request issue.
TKT-1089,USR-89129,West,2026-06-02 19:02:00,Shipping,High,Closed,Customer inquiry regarding shipping issue.
TKT-1090,USR-86955,West,2026-06-02 08:01:00,Login Issue,Low,Solved,Customer inquiry regarding login issue issue.
TKT-1091,USR-15273,West,2026-06-02 00:48:00,Bug Report,Medium,Solved,Customer inquiry regarding bug report issue.
TKT-1092,USR-46458,West,2026-06-02 05:30:00,Refund Request,High,Open,Customer inquiry regarding refund request issue.
TKT-1093,USR-21959,West,2026-06-02 05:37:00,Shipping,High,Open,Customer inquiry regarding shipping issue.
TKT-1094,USR-97835,West,2026-06-02 15:22:00,Shipping,Medium,Closed,Customer inquiry regarding shipping issue.
TKT-1095,USR-74942,West,2026-06-02 03:54:00,Product Question,Medium,Open,Customer inquiry regarding product question issue.
TKT-1096,USR-69614,West,2026-06-02 09:42:00,Shipping,High,Closed,Customer inquiry regarding shipping issue.
TKT-1097,USR-62976,West,2026-06-02 02:20:00,Billing,Medium,Closed,Customer inquiry regarding billing issue.
TKT-1098,USR-70552,West,2026-06-02 16:52:00,Login Issue,High,Solved,Customer inquiry regarding login issue issue.
TKT-1099,USR-91609,West,2026-06-02 13:03:00,Product Question,High,Closed,Customer inquiry regarding product question issue.
TKT-1100,USR-47752,Southeast,2026-06-03 01:13:00,Billing,High,Closed,Customer inquiry regarding billing issue.
TKT-1101,USR-13783,Southeast,2026-06-03 14:56:00,Bug Report,Medium,Closed,Customer inquiry regarding bug report issue.
TKT-1102,USR-50730,Southeast,2026-06-03 20:38:00,Product Question,High,Closed,Customer inquiry regarding product question issue.
TKT-1103,USR-39451,Southeast,2026-06-03 17:00:00,Refund Request,Medium,Closed,Customer inquiry regarding refund request issue.
TKT-1104,USR-75323,Southeast,2026-06-03 03:29:00,Login Issue,High,Closed,Customer inquiry regarding login issue issue.
TKT-1105,USR-64459,Southeast,2026-06-03 22:18:00,Refund Request,High,Closed,Customer inquiry regarding refund request issue.
TKT-1106,USR-28958,Southeast,2026-06-03 15:30:00,Product Question,Medium,Solved,Customer inquiry regarding product question issue.
TKT-1107,USR-19150,Southeast,2026-06-03 12:12:00,Refund Request,High,Closed,Customer inquiry regarding refund request issue.
TKT-1108,USR-45018,Southeast,2026-06-03 08:49:00,Shipping,Medium,Solved,Customer inquiry regarding shipping issue.
TKT-1109,USR-86011,Southeast,2026-06-03 00:18:00,Bug Report,Medium,Solved,Customer inquiry regarding bug report issue.
TKT-1110,USR-73483,Southeast,2026-06-03 21:31:00,Product Question,Medium,Solved,Customer inquiry regarding product question issue.
TKT-1111,USR-69682,Southeast,2026-06-03 11:21:00,Refund Request,High,Open,Customer inquiry regarding refund request issue.
TKT-1112,USR-84946,Southeast,2026-06-03 10:55:00,Product Question,High,Closed,Customer inquiry regarding product question issue.
TKT-1113,USR-71993,Southeast,2026-06-03 12:14:00,Shipping,Low,Closed,Customer inquiry regarding shipping issue.
TKT-1114,USR-74923,Southeast,2026-06-03 22:58:00,Shipping,Medium,Closed,Customer inquiry regarding shipping issue.
TKT-1115,USR-23154,Northeast,2026-06-03 01:08:00,Refund Request,High,Closed,Customer inquiry regarding refund request issue.
TKT-1116,USR-28894,Northeast,2026-06-03 14:06:00,Refund Request,Medium,Closed,Customer inquiry regarding refund request issue.
TKT-1117,USR-71537,Northeast,2026-06-03 13:55:00,Bug Report,Low,Closed,Customer inquiry regarding bug report issue.
TKT-1118,USR-95175,Northeast,2026-06-03 08:21:00,Refund Request,High,Open,Customer inquiry regarding refund request issue.
TKT-1119,USR-59808,Northeast,2026-06-03 02:54:00,Billing,High,Solved,Customer inquiry regarding billing issue.
TKT-1120,USR-14705,Northeast,2026-06-03 10:40:00,Bug Report,Medium,Solved,Customer inquiry regarding bug report issue.
TKT-1121,USR-39817,Northeast,2026-06-03 19:04:00,Product Question,High,Closed,Customer inquiry regarding product question issue.
TKT-1122,USR-68153,Midwest,2026-06-03 03:48:00,Bug Report,High,Closed,Customer inquiry regarding bug report issue.
TKT-1123,USR-52516,Midwest,2026-06-03 05:44:00,Billing,Low,Closed,Customer inquiry regarding billing issue.
TKT-1124,USR-29080,Midwest,2026-06-03 01:18:00,Billing,Medium,Open,Customer inquiry regarding billing issue.
TKT-1125,USR-32280,Midwest,2026-06-03 07:33:00,Shipping,High,Closed,Customer inquiry regarding shipping issue.
TKT-1126,USR-99539,Midwest,2026-06-03 05:05:00,Refund Request,Medium,Solved,Customer inquiry regarding refund request issue.
TKT-1127,USR-70443,Midwest,2026-06-03 07:31:00,Refund Request,Low,Closed,Customer inquiry regarding refund request issue.
TKT-1128,USR-70981,Midwest,2026-06-03 20:16:00,Shipping,Medium,Closed,Customer inquiry regarding shipping issue.
TKT-1129,USR-67898,West,2026-06-03 09:43:00,Refund Request,Low,Closed,Customer inquiry regarding refund request issue.
TKT-1130,USR-42780,West,2026-06-03 11:37:00,Billing,High,Open,Customer inquiry regarding billing issue.
TKT-1131,USR-73335,West,2026-06-03 14:54:00,Billing,Low,Open,Customer inquiry regarding billing issue.
TKT-1132,USR-85341,West,2026-06-03 03:15:00,Shipping,High,Closed,Customer inquiry regarding shipping issue.
TKT-1133,USR-45976,West,2026-06-03 09:44:00,Billing,Low,Open,Customer inquiry regarding billing issue.
TKT-1134,USR-89482,West,2026-06-03 00:36:00,Bug Report,High,Closed,Customer inquiry regarding bug report issue.
TKT-1135,USR-38705,Southeast,2026-06-04 09:49:00,Product Question,High,Closed,Customer inquiry regarding product question issue.
TKT-1136,USR-92345,Southeast,2026-06-04 20:12:00,Refund Request,Medium,Closed,Customer inquiry regarding refund request issue.
TKT-1137,USR-50492,Southeast,2026-06-04 03:57:00,Bug Report,High,Closed,Customer inquiry regarding bug report issue.
TKT-1138,USR-21813,Southeast,2026-06-04 14:02:00,Refund Request,Medium,Closed,Customer inquiry regarding refund request issue.
TKT-1139,USR-36318,Southeast,2026-06-04 09:20:00,Bug Report,Medium,Closed,Customer inquiry regarding bug report issue.
TKT-1140,USR-75771,Southeast,2026-06-04 04:50:00,Refund Request,Medium,Solved,Customer inquiry regarding refund request issue.
TKT-1141,USR-48684,Southeast,2026-06-04 08:53:00,Product Question,Medium,Open,Customer inquiry regarding product question issue.
TKT-1142,USR-19869,Southeast,2026-06-04 23:55:00,Billing,Low,Open,Customer inquiry regarding billing issue.
TKT-1143,USR-83048,Southeast,2026-06-04 04:48:00,Product Question,High,Open,Customer inquiry regarding product question issue.
TKT-1144,USR-80329,Southeast,2026-06-04 11:05:00,Shipping,Low,Closed,Customer inquiry regarding shipping issue.
TKT-1145,USR-86619,Southeast,2026-06-04 03:29:00,Billing,High,Closed,Customer inquiry regarding billing issue.
TKT-1146,USR-98452,Southeast,2026-06-04 12:52:00,Bug Report,Medium,Closed,Customer inquiry regarding bug report issue.
TKT-1147,USR-52992,Southeast,2026-06-04 07:30:00,Login Issue,High,Solved,Customer inquiry regarding login issue issue.
TKT-1148,USR-49608,Southeast,2026-06-04 19:14:00,Bug Report,Low,Open,Customer inquiry regarding bug report issue.
TKT-1149,USR-14877,Northeast,2026-06-04 20:26:00,Login Issue,Low,Closed,Customer inquiry regarding login issue issue.
TKT-1150,USR-80457,Northeast,2026-06-04 09:31:00,Login Issue,Low,Closed,Customer inquiry regarding login issue issue.
TKT-1151,USR-64935,Northeast,2026-06-04 04:24:00,Shipping,Medium,Solved,Customer inquiry regarding shipping issue.
TKT-1152,USR-95841,Northeast,2026-06-04 18:47:00,Bug Report,Low,Open,Customer inquiry regarding bug report issue.
TKT-1153,USR-46666,Northeast,2026-06-04 03:53:00,Shipping,High,Open,Customer inquiry regarding shipping issue.
TKT-1154,USR-68287,Northeast,2026-06-04 01:44:00,Billing,Low,Open,Customer inquiry regarding billing issue.
TKT-1155,USR-17936,Midwest,2026-06-04 03:43:00,Billing,High,Closed,Customer inquiry regarding billing issue.
TKT-1156,USR-22015,Midwest,2026-06-04 12:17:00,Product Question,Low,Open,Customer inquiry regarding product question issue.
TKT-1157,USR-12799,Midwest,2026-06-04 21:13:00,Bug Report,High,Solved,Customer inquiry regarding bug report issue.
TKT-1158,USR-84000,Midwest,2026-06-04 01:50:00,Billing,Low,Closed,Customer inquiry regarding billing issue.
TKT-1159,USR-38305,Midwest,2026-06-04 06:04:00,Refund Request,Low,Solved,Customer inquiry regarding refund request issue.
TKT-1160,USR-46342,Midwest,2026-06-04 07:21:00,Product Question,High,Closed,Customer inquiry regarding product question issue.
TKT-1161,USR-24408,Midwest,2026-06-04 04:08:00,Refund Request,Medium,Closed,Customer inquiry regarding refund request issue.
TKT-1162,USR-56955,Midwest,2026-06-04 21:55:00,Login Issue,Low,Closed,Customer inquiry regarding login issue issue.
TKT-1163,USR-44782,Midwest,2026-06-04 07:37:00,Billing,Low,Closed,Customer inquiry regarding billing issue.
TKT-1164,USR-24896,Midwest,2026-06-04 01:08:00,Bug Report,Medium,Solved,Customer inquiry regarding bug report issue.
TKT-1165,USR-77271,Midwest,2026-06-04 23:04:00,Shipping,Medium,Closed,Customer inquiry regarding shipping issue.
TKT-1166,USR-90623,Midwest,2026-06-04 18:06:00,Shipping,High,Closed,Customer inquiry regarding shipping issue.
TKT-1167,USR-70036,Midwest,2026-06-04 01:46:00,Bug Report,High,Closed,Customer inquiry regarding bug report issue.
TKT-1168,USR-65872,West,2026-06-04 20:01:00,Login Issue,Medium,Open,Customer inquiry regarding login issue issue.
TKT-1169,USR-19632,West,2026-06-04 21:06:00,Shipping,High,Open,Customer inquiry regarding shipping issue.
TKT-1170,USR-26540,West,2026-06-04 02:20:00,Refund Request,Low,Closed,Customer inquiry regarding refund request issue.
TKT-1171,USR-52622,West,2026-06-04 08:39:00,Bug Report,High,Solved,Customer inquiry regarding bug report issue.
TKT-1172,USR-76263,West,2026-06-04 12:38:00,Refund Request,Medium,Open,Customer inquiry regarding refund request issue.
TKT-1173,USR-95814,West,2026-06-04 19:27:00,Login Issue,High,Closed,Customer inquiry regarding login issue issue.
TKT-1174,USR-66370,West,2026-06-04 20:56:00,Refund Request,High,Closed,Customer inquiry regarding refund request issue.
TKT-1175,USR-69441,West,2026-06-04 14:56:00,Product Question,Medium,Closed,Customer inquiry regarding product question issue.
TKT-1176,USR-59060,Southeast,2026-06-05 10:27:00,Billing,High,Closed,Customer inquiry regarding billing issue.
TKT-1177,USR-21188,Southeast,2026-06-05 04:43:00,Shipping,Low,Closed,Customer inquiry regarding shipping issue.
TKT-1178,USR-27054,Southeast,2026-06-05 02:27:00,Login Issue,High,Closed,Customer inquiry regarding login issue issue.
TKT-1179,USR-53207,Southeast,2026-06-05 17:03:00,Refund Request,High,Solved,Customer inquiry regarding refund request issue.
TKT-1180,USR-16743,Southeast,2026-06-05 21:07:00,Shipping,Medium,Open,Customer inquiry regarding shipping issue.
TKT-1181,USR-85748,Southeast,2026-06-05 09:38:00,Billing,Medium,Closed,Customer inquiry regarding billing issue.
TKT-1182,USR-39392,Southeast,2026-06-05 16:13:00,Product Question,High,Open,Customer inquiry regarding product question issue.
TKT-1183,USR-46512,Southeast,2026-06-05 03:22:00,Refund Request,Medium,Closed,Customer inquiry regarding refund request issue.
TKT-1184,USR-90422,Southeast,2026-06-05 18:14:00,Shipping,High,Solved,Customer inquiry regarding shipping issue.
TKT-1185,USR-96223,Southeast,2026-06-05 21:41:00,Refund Request,Low,Solved,Customer inquiry regarding refund request issue.
TKT-1186,USR-50499,Southeast,2026-06-05 22:17:00,Login Issue,Low,Closed,Customer inquiry regarding login issue issue.
TKT-1187,USR-84228,Northeast,2026-06-05 10:22:00,Login Issue,Low,Closed,Customer inquiry regarding login issue issue.
TKT-1188,USR-22026,Northeast,2026-06-05 21:25:00,Login Issue,Low,Closed,Customer inquiry regarding login issue issue.
TKT-1189,USR-69460,Northeast,2026-06-05 23:33:00,Product Question,Medium,Open,Customer inquiry regarding product question issue.
TKT-1190,USR-84395,Northeast,2026-06-05 10:10:00,Billing,Medium,Closed,Customer inquiry regarding billing issue.
TKT-1191,USR-90981,Northeast,2026-06-05 19:05:00,Login Issue,Low,Closed,Customer inquiry regarding login issue issue.
TKT-1192,USR-96761,Northeast,2026-06-05 01:43:00,Login Issue,Medium,Open,Customer inquiry regarding login issue issue.
TKT-1193,USR-45804,Northeast,2026-06-05 13:31:00,Refund Request,Medium,Open,Customer inquiry regarding refund request issue.
TKT-1194,USR-66349,Northeast,2026-06-05 06:48:00,Refund Request,Low,Closed,Customer inquiry regarding refund request issue.
TKT-1195,USR-73783,Northeast,2026-06-05 03:18:00,Bug Report,High,Solved,Customer inquiry regarding bug report issue.
TKT-1196,USR-61807,Northeast,2026-06-05 16:42:00,Billing,Low,Closed,Customer inquiry regarding billing issue.
TKT-1197,USR-37686,Northeast,2026-06-05 19:03:00,Login Issue,Low,Closed,Customer inquiry regarding login issue issue.
TKT-1198,USR-25726,Northeast,2026-06-05 04:48:00,Billing,Medium,Closed,Customer inquiry regarding billing issue.
TKT-1199,USR-26932,Northeast,2026-06-05 00:31:00,Bug Report,Medium,Closed,Customer inquiry regarding bug report issue.
TKT-1200,USR-83233,Northeast,2026-06-05 12:34:00,Bug Report,Low,Solved,Customer inquiry regarding bug report issue.
TKT-1201,USR-12456,Midwest,2026-06-05 02:25:00,Bug Report,Low,Open,Customer inquiry regarding bug report issue.
TKT-1202,USR-66267,Midwest,2026-06-05 14:58:00,Login Issue,Medium,Solved,Customer inquiry regarding login issue issue.
TKT-1203,USR-47947,Midwest,2026-06-05 18:25:00,Bug Report,High,Open,Customer inquiry regarding bug report issue.
TKT-1204,USR-91018,Midwest,2026-06-05 03:25:00,Login Issue,Medium,Closed,Customer inquiry regarding login issue issue.
TKT-1205,USR-67240,Midwest,2026-06-05 14:53:00,Bug Report,Medium,Closed,Customer inquiry regarding bug report issue.
TKT-1206,USR-78676,Midwest,2026-06-05 03:15:00,Shipping,High,Open,Customer inquiry regarding shipping issue.
TKT-1207,USR-39041,Midwest,2026-06-05 02:25:00,Billing,High,Closed,Customer inquiry regarding billing issue.
TKT-1208,USR-92998,Midwest,2026-06-05 10:49:00,Product Question,Low,Solved,Customer inquiry regarding product question issue.
TKT-1209,USR-56019,Midwest,2026-06-05 03:33:00,Refund Request,Low,Closed,Customer inquiry regarding refund request issue.
TKT-1210,USR-23474,Midwest,2026-06-05 23:52:00,Bug Report,Low,Closed,Customer inquiry regarding bug report issue.
TKT-1211,USR-30036,West,2026-06-05 04:16:00,Product Question,Low,Solved,Customer inquiry regarding product question issue.
TKT-1212,USR-70811,West,2026-06-05 20:04:00,Product Question,High,Open,Customer inquiry regarding product question issue.
TKT-1213,USR-94278,West,2026-06-05 18:48:00,Refund Request,Medium,Solved,Customer inquiry regarding refund request issue.
TKT-1214,USR-29786,West,2026-06-05 20:39:00,Billing,High,Closed,Customer inquiry regarding billing issue.
TKT-1215,USR-46002,West,2026-06-05 14:04:00,Shipping,Medium,Closed,Customer inquiry regarding shipping issue.
TKT-1216,USR-17456,Southeast,2026-06-06 02:19:00,Shipping,Medium,Closed,Customer inquiry regarding shipping issue.
TKT-1217,USR-90610,Southeast,2026-06-06 11:53:00,Billing,Low,Closed,Customer inquiry regarding billing issue.
TKT-1218,USR-82655,Southeast,2026-06-06 19:32:00,Shipping,Medium,Solved,Customer inquiry regarding shipping issue.
TKT-1219,USR-95437,Southeast,2026-06-06 23:57:00,Login Issue,Medium,Solved,Customer inquiry regarding login issue issue.
TKT-1220,USR-29773,Southeast,2026-06-06 06:20:00,Refund Request,Medium,Solved,Customer inquiry regarding refund request issue.
TKT-1221,USR-76132,Southeast,2026-06-06 01:28:00,Login Issue,Medium,Closed,Customer inquiry regarding login issue issue.
TKT-1222,USR-67595,Southeast,2026-06-06 20:11:00,Login Issue,Low,Open,Customer inquiry regarding login issue issue.
TKT-1223,USR-58870,Southeast,2026-06-06 16:33:00,Refund Request,Low,Closed,Customer inquiry regarding refund request issue.
TKT-1224,USR-16863,Southeast,2026-06-06 09:24:00,Shipping,Medium,Solved,Customer inquiry regarding shipping issue.
TKT-1225,USR-22387,Southeast,2026-06-06 20:41:00,Billing,Low,Closed,Customer inquiry regarding billing issue.
TKT-1226,USR-96057,Southeast,2026-06-06 17:43:00,Shipping,Medium,Closed,Customer inquiry regarding shipping issue.
TKT-1227,USR-86380,Southeast,2026-06-06 19:55:00,Product Question,Medium,Closed,Customer inquiry regarding product question issue.
TKT-1228,USR-26901,Northeast,2026-06-06 21:09:00,Billing,Medium,Open,Customer inquiry regarding billing issue.
TKT-1229,USR-59372,Northeast,2026-06-06 19:45:00,Login Issue,Medium,Solved,Customer inquiry regarding login issue issue.
TKT-1230,USR-22249,Northeast,2026-06-06 20:50:00,Billing,Low,Solved,Customer inquiry regarding billing issue.
TKT-1231,USR-12389,Northeast,2026-06-06 20:42:00,Shipping,High,Closed,Customer inquiry regarding shipping issue.
TKT-1232,USR-73736,Northeast,2026-06-06 11:19:00,Product Question,Low,Closed,Customer inquiry regarding product question issue.
TKT-1233,USR-48770,Northeast,2026-06-06 06:14:00,Product Question,Low,Closed,Customer inquiry regarding product question issue.
TKT-1234,USR-14947,Northeast,2026-06-06 03:32:00,Refund Request,High,Solved,Customer inquiry regarding refund request issue.
TKT-1235,USR-59377,Northeast,2026-06-06 21:21:00,Refund Request,Low,Solved,Customer inquiry regarding refund request issue.
